number,value,datetime_start,datetime_complete,duration,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,params_rsm,params_subsample,user_attrs_fold_rmses,user_attrs_n_bas,user_attrs_n_haut,state
0,10.500172478116623,2026-07-02 14:00:20.576220,2026-07-02 14:06:13.467314,0 days 00:05:52.891094,10,1.6998978382700767,0.03574712922600244,16,0.0017073967431528124,0.8394633936788146,0.8927975767245621,"[11.467003615391395, 10.385696607232935, 9.64781721172554]",541,456,COMPLETE
1,10.625599423676633,2026-07-02 14:06:13.467553,2026-07-02 14:07:29.584265,0 days 00:01:16.116712,8,16.967533607196547,0.19030368381735815,97,0.0070689749506246055,0.608233797718321,0.8832290311184182,"[11.63728242742088, 10.524652704504275, 9.714863139104745]",152,114,COMPLETE
2,10.858702736195113,2026-07-02 14:07:29.584496,2026-07-02 14:09:27.870303,0 days 00:01:58.285807,5,2.6926552514864723,0.01855998084649058,44,0.280163515871626,0.8099025726528951,0.721696897183815,"[11.76889346202789, 10.60611021486712, 10.201104531690325]",600,441,COMPLETE
3,10.806609602988232,2026-07-02 14:09:27.870501,2026-07-02 14:11:38.139761,0 days 00:02:10.269260,6,1.9721610970573997,0.01607123851203988,79,0.11400863701127326,0.7824279936868144,0.7465447373174766,"[11.729102841719438, 10.544628007600984, 10.146097959644273]",600,445,COMPLETE
4,10.760297070820087,2026-07-02 14:11:38.139939,2026-07-02 14:12:52.830580,0 days 00:01:14.690641,4,25.212679047779208,0.07500118950416987,7,7.286653737491043,0.6682096494749166,0.8430179407605753,"[11.85660004600039, 10.552717995342274, 9.871573171117598]",381,278,COMPLETE
5,10.611664793862676,2026-07-02 14:12:52.830765,2026-07-02 14:14:00.922190,0 days 00:01:08.091425,6,1.5144860262751405,0.1563510870813346,45,0.09565499215943825,0.8736932106048627,0.6390688456025535,"[11.649015551615635, 10.463188402016224, 9.72279042795617]",256,110,COMPLETE
6,10.694593553685424,2026-07-02 14:14:00.922355,2026-07-02 14:19:42.152278,0 days 00:05:41.229923,10,5.864129169696525,0.011240768803005551,32,0.1537592023548176,0.8650089137415928,0.7035119926400067,"[11.54912638008191, 10.53314398550305, 10.001510295471315]",597,600,COMPLETE
7,10.657585646410261,2026-07-02 14:19:42.152477,2026-07-02 14:26:26.311423,0 days 00:06:44.158946,10,7.641361869233315,0.01875220945578641,90,4.8696409415209025,0.9757995766256756,0.9100531293444458,"[11.505534379270696, 10.528059683289895, 9.939162876670194]",598,598,COMPLETE
8,10.935817867644559,2026-07-02 14:26:26.311602,2026-07-02 14:28:06.256689,0 days 00:01:39.945087,5,2.516607127550296,0.01351182947645082,39,2.065142557895926,0.7301321323053057,0.6180909155642152,"[11.795511704998905, 10.694285971771054, 10.317655926163713]",592,467,COMPLETE
9,10.813428569536525,2026-07-02 14:28:06.256864,2026-07-02 14:29:48.869226,0 days 00:01:42.612362,5,1.2886065671894003,0.03364867144187955,81,8.862326508576256,0.6563696899899051,0.8170784332632994,"[11.806954853607637, 10.587840884497709, 10.045489970504226]",478,367,COMPLETE
