number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_rmses,user_attrs_n_bas,user_attrs_n_haut,state
0,10.618484411650085,2026-07-02 13:22:42.126658,2026-07-02 13:24:04.860701,0 days 00:01:22.734043,0.6624074561769746,0.03574712922600244,10,19,244,2.915443189153755,0.014936568554617643,0.8394633936788146,"[11.67978199866797, 10.466065254012728, 9.709605982269562]",263,180,COMPLETE
1,10.762566089290482,2026-07-02 13:24:04.860848,2026-07-02 13:24:25.987816,0 days 00:00:21.126968,0.9329770563201687,0.07725378389307355,3,25,185,0.00541524411940254,0.035113563139704075,0.9879639408647978,"[11.690143008163606, 10.580670728941994, 10.016884530765852]",533,192,COMPLETE
2,10.565905197267725,2026-07-02 13:24:25.987973,2026-07-02 13:25:29.063243,0 days 00:01:03.075270,0.8447411578889518,0.028145092716060652,7,18,141,0.029204338471814112,0.07523742884534858,0.7164916560792167,"[11.565289006008756, 10.459048373034074, 9.673378212760346]",562,291,COMPLETE
3,10.704391744766177,2026-07-02 13:25:29.063390,2026-07-02 13:25:56.254077,0 days 00:00:27.190687,0.836965827544817,0.04717052037625178,4,9,204,0.004809461967501573,0.6647135865318027,0.8056937753654446,"[11.647506044124167, 10.554355337791325, 9.911313852383037]",573,299,COMPLETE
4,10.619118640090308,2026-07-02 13:25:56.254206,2026-07-02 13:28:28.828623,0 days 00:02:32.574417,0.7218455076693483,0.012476394272569451,12,14,243,0.057624872164786005,1.129013355909267,0.9233589392465844,"[11.684279772727454, 10.463163070420977, 9.709913077122492]",461,371,COMPLETE
5,11.016677336483282,2026-07-02 13:28:28.828776,2026-07-02 13:28:52.175434,0 days 00:00:23.346658,0.7035119926400067,0.015144860262751412,3,68,134,0.12030178871154672,0.08612579192594885,0.9637281608315128,"[11.857843915892477, 10.774117884188492, 10.418070209368876]",489,418,COMPLETE
6,10.551273812344276,2026-07-02 13:28:52.175568,2026-07-02 13:29:32.617136,0 days 00:00:40.441568,0.9757995766256756,0.06420330336297862,12,90,59,4.8696409415209025,0.621870472776908,0.9100531293444458,"[11.536120591456294, 10.481898532929426, 9.635802312647108]",350,139,COMPLETE
7,11.033277219781157,2026-07-02 13:29:32.617270,2026-07-02 13:29:55.353370,0 days 00:00:22.736100,0.7554709158757927,0.01351182947645082,3,31,62,0.026730883107816707,3.0634622106220815,0.7301321323053057,"[11.852981800015094, 10.790102774795134, 10.456747084533243]",535,445,COMPLETE
8,10.754899899474525,2026-07-02 13:29:55.353515,2026-07-02 13:30:25.324364,0 days 00:00:29.970849,0.6298202574719083,0.026000059117302653,4,99,145,0.006235377135673155,2.0736445177905027,0.9208787923016158,"[11.630821101941148, 10.592583683618573, 10.041294912863856]",597,383,COMPLETE
9,10.68828601743396,2026-07-02 13:30:25.324490,2026-07-02 13:32:48.246324,0 days 00:02:22.921834,0.9085081386743783,0.010189592979395137,10,12,211,0.0029072088906598446,0.11895896737553548,0.8916028672163949,"[11.749200787009762, 10.52554934190751, 9.790107923384607]",497,410,COMPLETE
10,10.747136664375356,2026-07-02 13:32:48.246467,2026-07-02 13:32:59.983405,0 days 00:00:11.736938,0.9906561731354216,0.26086662868271654,7,55,16,7.330495309842472,7.57377218848391,0.6071847502459278,"[11.772431154216227, 10.601012038568868, 9.867966800340977]",101,35,COMPLETE
11,10.60344581222988,2026-07-02 13:32:59.983559,2026-07-02 13:33:26.691772,0 days 00:00:26.708213,0.8260350098901954,0.08986653829201305,7,98,93,0.8121060864218553,0.2790544734622927,0.70071595784319,"[11.540339934650824, 10.540012187928454, 9.729985314110362]",244,95,COMPLETE
12,10.585038003183465,2026-07-02 13:33:26.691912,2026-07-02 13:33:50.915183,0 days 00:00:24.223271,0.8441211009670725,0.10496636334224381,7,49,76,0.4080607288147491,0.3503624723281326,0.6114610008920778,"[11.592815543505072, 10.456286605985131, 9.706011860060192]",200,69,COMPLETE
13,10.61589548672787,2026-07-02 13:33:50.915329,2026-07-02 13:34:28.783029,0 days 00:00:37.867700,0.9945595824269425,0.02543140011837739,12,72,23,0.0012082351963557468,0.07309356948948216,0.7452224600812272,"[11.54330056830667, 10.487648846439452, 9.816737045437486]",601,316,COMPLETE
14,10.54225605190265,2026-07-02 13:34:28.783175,2026-07-02 13:35:15.988570,0 days 00:00:47.205395,0.9130809144070068,0.05419717159092677,9,82,129,0.7894401073921385,0.2434132837426053,0.8066863169074608,"[11.470230330708768, 10.472398036214052, 9.68413978878513]",303,111,COMPLETE
15,10.736770711326768,2026-07-02 13:35:15.988709,2026-07-02 13:35:36.759399,0 days 00:00:20.770690,0.9281889012746768,0.17318311274906745,10,83,122,1.4013188598751214,0.2756331406212371,0.8425405748361384,"[11.615903164312066, 10.716538237863, 9.877870731805237]",69,38,COMPLETE
16,10.514998706028393,2026-07-02 13:35:36.759549,2026-07-02 13:36:17.083324,0 days 00:00:40.323775,0.9044243675990947,0.05321967059355679,9,86,51,6.66943501972239,0.5495311348299032,0.7856665984179806,"[11.467415423672758, 10.463931075225299, 9.61364961918712]",413,151,COMPLETE
