number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_rmses,user_attrs_n_bas,user_attrs_n_haut,state
0,10.719415646544787,2026-07-02 11:47:39.346099,2026-07-02 11:49:34.169055,0 days 00:01:54.822956,0.8394633936788146,0.03574712922600244,10,2,0.0017073967431528124,0.029375384576328302,0.8927975767245621,"[11.724297947577076, 10.569970412042212, 9.863978580015072]",171,155,COMPLETE
1,10.739884992381713,2026-07-02 11:49:34.169267,2026-07-02 11:50:12.493397,0 days 00:00:38.324130,0.608233797718321,0.19030368381735815,7,10,0.0070689749506246055,3.142880890840109,0.8832290311184182,"[11.697328093911956, 10.63661720235542, 9.885709680877763]",55,32,COMPLETE
2,10.848450977764735,2026-07-02 11:50:12.493579,2026-07-02 11:52:57.468390,0 days 00:02:44.974811,0.8099025726528951,0.01855998084649058,4,5,0.280163515871626,0.07476312062252301,0.721696897183815,"[11.769855677727708, 10.652936647565422, 10.122560608001072]",477,425,COMPLETE
3,10.750452046492784,2026-07-02 11:52:57.468673,2026-07-02 11:55:39.024987,0 days 00:02:41.556314,0.7824279936868144,0.01607123851203988,5,8,0.11400863701127326,0.039721107273819126,0.7465447373174766,"[11.656207947260468, 10.595632026616975, 9.999516165600907]",598,349,COMPLETE
4,10.826697816453462,2026-07-02 11:55:39.025157,2026-07-02 11:57:12.164368,0 days 00:01:33.139211,0.6682096494749166,0.07500118950416987,3,1,7.286653737491043,7.025166339242159,0.8430179407605753,"[11.84690887140028, 10.624421548351192, 10.008763029608915]",344,135,COMPLETE
5,10.704929845152847,2026-07-02 11:57:12.164559,2026-07-02 11:58:07.927018,0 days 00:00:55.762459,0.8736932106048627,0.1563510870813346,5,5,0.09565499215943825,0.023233503515390115,0.6390688456025535,"[11.68313158695967, 10.599182642987328, 9.832475305511547]",185,34,COMPLETE
6,10.6486242110539,2026-07-02 11:58:07.927183,2026-07-02 12:01:59.778776,0 days 00:03:51.851593,0.8650089137415928,0.011240768803005551,10,4,0.1537592023548176,0.3632486956676606,0.7035119926400067,"[11.634643199725815, 10.548953890059215, 9.762275543376667]",549,339,COMPLETE
7,10.700102683631924,2026-07-02 12:01:59.778954,2026-07-02 12:04:53.044928,0 days 00:02:53.265974,0.9757995766256756,0.01875220945578641,10,9,4.8696409415209025,0.621870472776908,0.9100531293444458,"[11.708940282981606, 10.594071023081822, 9.797296744832341]",356,242,COMPLETE
8,10.898925404647128,2026-07-02 12:04:53.045096,2026-07-02 12:07:26.281304,0 days 00:02:33.236208,0.7301321323053057,0.01351182947645082,4,4,2.065142557895926,0.06516990611177176,0.6180909155642152,"[11.766127062312792, 10.699155087307412, 10.231494064321177]",528,421,COMPLETE
9,10.636295533746818,2026-07-02 12:07:26.281498,2026-07-02 12:09:48.394350,0 days 00:02:22.112852,0.6563696899899051,0.03364867144187955,5,9,8.862326508576256,0.01673601016782578,0.8170784332632994,"[11.617208424000578, 10.505768080169256, 9.78591009707062]",550,282,COMPLETE
10,10.726775015304911,2026-07-02 12:09:48.394412,2026-07-02 12:10:56.789944,0 days 00:01:08.395532,0.972916136764715,0.057377690360134986,8,7,0.010757412206633206,0.41959637207216705,0.9878148443151463,"[11.69837302689096, 10.61520494571841, 9.866747073305364]",143,104,COMPLETE
11,10.685760869198388,2026-07-02 12:10:56.790134,2026-07-02 12:14:17.301796,0 days 00:03:20.511662,0.887352152856701,0.01027593616927568,8,7,0.8161682490001888,0.3089172273874259,0.754355816183264,"[11.643275722780595, 10.566432812649888, 9.84757407216468]",554,396,COMPLETE
12,10.585425118863126,2026-07-02 12:14:17.301909,2026-07-02 12:16:28.416023,0 days 00:02:11.114114,0.7129996514434802,0.03205809078417295,7,3,0.6522647032302532,0.01048166602964264,0.8149669593485512,"[11.600001544262428, 10.51369649153466, 9.642577320792295]",414,210,COMPLETE
13,10.610546297561188,2026-07-02 12:16:28.416244,2026-07-02 12:18:49.565220,0 days 00:02:21.148976,0.7174492784811781,0.03240645898079072,6,2,0.7045490097809957,0.010218461840163265,0.8117599251085925,"[11.587751919380084, 10.529623109420232, 9.714263863883243]",516,227,COMPLETE
14,10.60554062544665,2026-07-02 12:18:49.565424,2026-07-02 12:20:56.185712,0 days 00:02:06.620288,0.7291243426657297,0.03195316511515285,7,2,0.6489352262726193,0.011422875619888423,0.7878102180678748,"[11.609787658948518, 10.55849107403569, 9.648343143355744]",395,194,COMPLETE
15,10.676755869736718,2026-07-02 12:20:56.185907,2026-07-02 12:22:03.195890,0 days 00:01:07.009983,0.7390360621427805,0.06463416961232411,8,3,0.04435552469756791,0.12208672271365957,0.7842681919900725,"[11.649930577916395, 10.615993415576652, 9.76434361571711]",150,79,COMPLETE
16,10.71011420737455,2026-07-02 12:22:03.196074,2026-07-02 12:22:47.975127,0 days 00:00:44.779053,0.6804783008782727,0.12568848258132578,7,1,0.7919427835692409,0.0101225276915052,0.6817436550446848,"[11.69333048950685, 10.649558181028011, 9.787453951588786]",87,45,COMPLETE
17,10.593193646802769,2026-07-02 12:22:47.975286,2026-07-02 12:25:21.548411,0 days 00:02:33.573125,0.6035818520745977,0.024484007696069548,7,3,2.0471470403247136,0.11811495781570773,0.9451709287413013,"[11.591998601842064, 10.482437491301505, 9.705144847264743]",515,245,COMPLETE
18,10.55194431410412,2026-07-02 12:25:21.548588,2026-07-02 12:28:20.094546,0 days 00:02:58.545958,0.6050676739448353,0.0237311007506149,9,5,2.2294871736871302,1.323071869247316,0.9544208748113017,"[11.53334625793734, 10.482568661197641, 9.639918023177376]",550,243,COMPLETE
19,10.606256687026645,2026-07-02 12:28:20.094734,2026-07-02 12:30:16.488418,0 days 00:01:56.393684,0.6348776475540855,0.04808442678125238,9,6,2.056231085835462,1.724275815114458,0.983548789121887,"[11.562532570049576, 10.513655589346133, 9.74258190168423]",322,150,COMPLETE
20,10.961327970743115,2026-07-02 12:30:16.488579,2026-07-02 12:30:45.155545,0 days 00:00:28.666966,0.6962405939159267,0.2819718240401797,9,5,0.3454929300579767,1.1360415108170805,0.8572857115689103,"[11.854332277837514, 10.83270670754562, 10.196944926846212]",17,16,COMPLETE
21,10.618749783148678,2026-07-02 12:30:45.155723,2026-07-02 12:33:27.850037,0 days 00:02:42.694314,0.604353923961326,0.024429271234301317,6,3,2.47057834165635,0.1375250104252618,0.9522865024326549,"[11.548543403219677, 10.529211307957278, 9.77849463826908]",559,296,COMPLETE
22,10.588314331078626,2026-07-02 12:33:27.850209,2026-07-02 12:36:46.244587,0 days 00:03:18.394378,0.6357448389596702,0.02100900112640714,9,4,3.5092794398763942,0.1850357329795826,0.9364880448668339,"[11.598723980908593, 10.476002552248096, 9.690216460079187]",534,282,COMPLETE
23,10.567535855913691,2026-07-02 12:36:46.244765,2026-07-02 12:40:04.200505,0 days 00:03:17.955740,0.650649538440438,0.02363270282579093,9,4,4.519085227418879,6.690317923715332,0.9348787683724699,"[11.488659735962079, 10.48705428168468, 9.726893550094317]",564,320,COMPLETE
24,10.577683509099183,2026-07-02 12:40:04.200688,2026-07-02 12:42:02.837266,0 days 00:01:58.636578,0.642018362582512,0.045644147553725326,9,6,1.329063417116515,8.597786953113339,0.9079510734089556,"[11.524364637252953, 10.526085519396991, 9.682600370647606]",308,161,COMPLETE
25,10.646444853909312,2026-07-02 12:42:02.837453,2026-07-02 12:43:09.913299,0 days 00:01:07.075846,0.6439732627143429,0.09020518118567054,9,6,1.3939786750222305,9.905423751089067,0.915905199090406,"[11.604547556740894, 10.558693459729263, 9.77609354525778]",134,84,COMPLETE
26,10.612741312813013,2026-07-02 12:43:09.913464,2026-07-02 12:44:45.031578,0 days 00:01:35.118114,0.6754290448648681,0.045345790189952016,9,6,4.023437051510951,4.329558875173911,0.9642737409928189,"[11.6007376507949, 10.489976671791867, 9.747509615852273]",195,157,COMPLETE
27,10.61405248707788,2026-07-02 12:44:45.031759,2026-07-02 12:46:21.115539,0 days 00:01:36.083780,0.7666435758138982,0.044120132297939554,8,7,0.27383097721166344,2.7309917877965058,0.8638600682038882,"[11.615300618542458, 10.488161243497428, 9.738695599193754]",249,128,COMPLETE
