trial,pr_auc_troncon_global,pr_auc_tour_global,r2_global,bias_gt63_global,pr_auc_troncon_bas,pr_auc_troncon_haut,hp_max_depth,hp_learning_rate,hp_n_estimators,hp_subsample,hp_colsample_bytree,hp_min_child_weight,hp_reg_lambda,hp_reg_alpha,hp_gamma
45,0.5036812145561468,0.6019145939237278,0.6764150867244105,-28.416436035352845,0.5192262631316478,0.3292147836274667,8,0.025467166524142874,597,0.6762802889616667,0.6168682373368515,2,3.417550089972704,0.18408206080107936,3.9994404500154395
24,0.5023266485106463,0.6027025478741436,0.6748030093942714,-28.435254367283832,0.5189939871829086,0.3183149740235036,9,0.03588313287252753,555,0.6669193195390262,0.6396512374141686,9,3.3732537259437105,0.4180812360911259,3.260968993108958
21,0.5021199548384035,0.6061238967213378,0.6780644674862487,-28.32513306852943,0.5201794702601635,0.3193757377481617,10,0.019521608793385655,577,0.7206094646301776,0.6000979753604,8,2.9885169342502724,0.914834670069054,4.670986392189423
23,0.5011150882369401,0.6056433638552627,0.6767201586519183,-28.257973210115633,0.5195716822915064,0.30972533442726197,10,0.020822517170221242,545,0.7116398258831877,0.6016910370154991,9,3.42845539128602,0.49013394640425945,3.4305324386734024
44,0.5009192029089594,0.6029282342232168,0.6757724114575321,-28.487057133987225,0.5173652204684572,0.3208326883702174,8,0.027042106356235905,596,0.6805075287865401,0.6194150729043013,3,3.8800203049003366,0.3194900600650552,0.5083806889232969
30,0.5009118799604205,0.6029234455010558,0.6730873482249589,-28.46042788740573,0.5171726477428766,0.3213929021871163,9,0.03653057220349531,551,0.6714167677462548,0.6311941941868585,6,3.238212825762954,0.4965524624329128,0.2194457869899442
41,0.5006914973551287,0.6013873063904377,0.6755698072433349,-28.18720170762712,0.5177452947833129,0.31372397091690973,9,0.030728160369149868,562,0.6582819767558035,0.6570853708993256,5,3.9934124670508515,0.7302134103644611,0.2913412817191712
33,0.5001256769590007,0.6026188949060317,0.6741334179095488,-28.326888526843454,0.5180144829986841,0.3015595389597622,9,0.0316423703321408,562,0.6311631983195254,0.6584561167341002,5,4.080975736016567,0.7167866278341414,0.5158798640753162
14,0.5000914435040951,0.6040295243183826,0.6771878856722366,-28.31335489583913,0.5190684181192147,0.2986153871593928,10,0.02068086816741835,596,0.7233960054060151,0.6112862284307818,8,3.34953746521914,1.259080757770238,4.724035033979699
16,0.49941993950723096,0.6013517743377537,0.6773862048422264,-28.686141839901882,0.5173162920411843,0.31873274254563794,10,0.016308355406652878,520,0.7249980398336655,0.6011647737102855,8,2.8292802775874453,0.8993245324418503,3.5209168509832303
38,0.49835096213691754,0.605142871015754,0.6753730963934149,-28.37777490187169,0.5156265306319813,0.31600248590090163,7,0.040812813053841726,461,0.7136263600982757,0.6835684569462417,7,3.5450661086195066,0.46844485310411355,0.7255127685379794
46,0.49833661563560655,0.5986228661701777,0.675038892985218,-28.44766894272567,0.5133495894460551,0.33013593128930985,7,0.024832002511798935,593,0.6855931110741734,0.614316728017922,2,3.4664013103712783,0.3095734746965024,3.9827312955639784
15,0.4981276396618055,0.6019474844994114,0.677259551380458,-28.501122814936245,0.5156887510298853,0.3183904082013159,10,0.017397029542136976,585,0.7276682772869113,0.603491710274016,8,2.8770379297187185,0.9363955526126508,4.886332327975389
43,0.49791542964683594,0.5958663139030608,0.671144867920895,-28.636059967913667,0.5141358644322949,0.32106388914774925,8,0.035076459793632664,538,0.6487069082319028,0.6870748705312015,6,4.4043687431910215,0.8463222235115024,0.9653841579778955
13,0.4976159522464673,0.599155814123541,0.6756262062247871,-28.258870138104037,0.5154479699555207,0.31665201687774114,8,0.02380074849503738,573,0.8257480050732254,0.6019043189015467,8,3.679266013216041,1.9939815884983214,4.992514498372869
42,0.4973891951609002,0.5971184722145072,0.6740606390530525,-28.47041019382024,0.513904323974472,0.3106057177053869,9,0.029952997144971003,574,0.6611565521539522,0.6542061544676535,5,4.035339740842716,0.7027998607269794,0.3031097744428375
48,0.4972240085199963,0.5998630397780306,0.675389207497519,-28.541536241379177,0.5147338948742747,0.3144248593814049,8,0.014879008385117859,578,0.7353556948638055,0.6019052114014827,3,3.045495228944856,0.3693483150490829,4.071162072092772
