k,tau,segment,n_obs,n_gt63,bias_gt63,mae_gt63,bias_le63,mae_global,r2_global,pr_auc_troncon,pr_auc_tour
1,0.5,bas,251106,8917,-28.10314259513606,28.366704554492024,-2.025465385598138,7.506187283446403,0.6170304816181136,0.49187962280646613,0.5880528549569309
1,0.5,haut,84603,620,-43.858697367994296,44.39623964960657,-0.29579071866881934,4.775893699563974,0.5101461756476031,0.30766859207404135,0.3126193411038228
1,0.5,global,335709,9537,-29.127410599662863,29.408784009139296,-1.5801075144359138,6.8181180685096425,0.6586008754969208,0.4759245050284993,0.5902590576472103
2,0.667,bas,251106,8917,-23.159146282000968,23.791661399034048,0.3254285239876398,7.204993220054131,0.6603158842563046,0.514206388814281,0.6066723763826869
2,0.667,haut,84603,620,-40.59393963381167,41.21549715255537,0.7635317514790361,4.964181393661535,0.5232371861306675,0.3504833805951279,0.3560743490483151
2,0.667,global,335709,9537,-24.29258152139728,24.924384285390683,0.4382316565508578,6.6402797242935385,0.6925017565865526,0.500245379335337,0.6103166057656103
3,0.75,bas,251106,8917,-21.910916945826543,22.827720635859997,1.362735908489604,7.276513604526037,0.6597887627001686,0.5090759283219783,0.6034437144346925
3,0.75,haut,84603,620,-40.66708402229894,41.41532849861729,1.014802743500026,5.01034349411212,0.5258955021539842,0.3442797716222038,0.3427724521528716
3,0.75,global,335709,9537,-23.130254639798746,24.036100301888048,1.2731498281537086,6.705409493967939,0.6924012511433549,0.4939962378737007,0.6056821545083088
5,0.833,bas,251106,8917,-18.47760164164181,19.858475642286102,3.0711645878575498,7.599808984694053,0.6468858475762087,0.5331484209835852,0.6231410035046202
5,0.833,haut,84603,620,-39.751417822799375,40.40981313470871,1.8221210570853854,5.31478901095075,0.4985957687980612,0.3463355603092035,0.34871645916041305
5,0.833,global,335709,9537,-19.86061160623421,21.194517295353315,2.749559965618858,7.023954465337693,0.6797022616591916,0.5176240392008589,0.6242037680851232
9,0.9,bas,251106,8917,-15.48527415167447,17.707714086906705,5.454907678110504,8.585081671682513,0.5820140331475799,0.5221933520562652,0.6195126243019482
9,0.9,haut,84603,620,-41.793991369970385,41.956771959412485,2.437477781918574,5.703047743876388,0.45394922946369953,0.3162007704769034,0.3356645671686273
9,0.9,global,335709,9537,-17.195602837355867,19.284144398425376,4.677977668876459,7.858771932014581,0.6261208917078327,0.5036245233984732,0.6205034148217187
19,0.95,bas,251106,8917,-12.922375538804491,16.16816487279697,7.528307507023099,9.895713841689652,0.47770520509906333,0.5205422047013217,0.613397035102154
19,0.95,haut,84603,620,-38.974139084354526,39.25367101853894,3.4263282095075684,6.349809726236722,0.3949833888095081,0.34815412266938467,0.3500534143694737
19,0.95,global,335709,9537,-14.61599967618952,17.66895273170019,6.472126941728571,9.002100248131944,0.5413875151024474,0.5022101138338347,0.6141655480360833
