forme,config,k,bas.n_gt63,bas.bias_gt63,bas.mae_gt63,bas.bias_band_56_70,bas.bias_gt94,bas.bias_le63,bas.mae_global,bas.r2_global,bas.pr_auc_troncon,bas.pr_auc_tour,haut.n_gt63,haut.bias_gt63,haut.mae_gt63,haut.bias_band_56_70,haut.bias_gt94,haut.bias_le63,haut.mae_global,haut.r2_global,haut.pr_auc_troncon,haut.pr_auc_tour,global.n_gt63,global.bias_gt63,global.mae_gt63,global.bias_band_56_70,global.bias_gt94,global.bias_le63,global.mae_global,global.r2_global,global.pr_auc_troncon,global.pr_auc_tour,sigma,W1,W2
MSE,baseline,1,8917,-28.10314259513606,28.366704554492024,-19.30317347329889,-47.43770110417926,-2.025465385598138,7.506187283446403,0.6170304816181136,0.49187962280646613,0.5880528549569309,620,-43.858697367994296,44.39623964960657,-30.72177573214186,-65.49139682769776,-0.29579071866881934,4.775893699563974,0.5101461756476031,0.30766859207404135,0.3126193411038228,9537,-29.127410599662863,29.408784009139296,-19.92745533390256,-49.40219465407246,-1.5801075144359138,6.8181180685096425,0.6586008754969208,0.4759245050284993,0.5902590576472103,,,
A,sigma5,1,8917,-15.149330633697561,15.18067783168764,-1.5926569069478236,-42.28352618654132,34.43801998732883,33.80699444787121,-3.220230402664786,0.4383133459731584,0.5349373885954756,620,-23.175907885643742,23.175907885643742,-4.018622425431055,-52.32305252075195,46.31792077983781,46.17458483630142,-15.042231232488117,0.03412409293955729,0.04042053546993709,9537,-15.671138109445346,15.700447427310246,-1.7252901516574535,-43.37596648406152,37.49686534578168,36.9237868175496,-3.941991585069408,0.3928807786052906,0.5159172541867991,5.0,,
A,sigma5,2,8917,-14.488744965660555,14.54660028917741,-0.9145187510145405,-41.756504995045646,34.839219949601315,34.161133277362396,-3.292390593668248,0.4227108033349042,0.5287515527127908,620,-22.341244955985776,22.346456693833876,-3.122599371781586,-51.56740558624268,47.07404767829477,46.91473859242736,-15.56095307389046,0.0442955376838303,0.051085633353129406,9537,-14.99923568538391,15.053668651438814,-1.0352397155465891,-42.82406762738482,37.989452149602734,37.37520638970207,-4.053585920927803,0.3750482640823724,0.5071481473777507,5.0,,
A,sigma5,3,8917,-14.108683738096742,14.189239598208243,-0.5250216590468272,-41.312684661157256,35.087024262201794,34.38262572538453,-3.338263930170802,0.4036577713865477,0.5011367520608503,620,-22.471326132743588,22.484149446795065,-3.083099771053233,-51.64080360412598,47.75271423825135,47.5893452756632,-16.047096583457318,0.025567027421704754,0.030053984283270288,9537,-14.652338795733424,14.728491365653333,-0.6648778101879296,-42.43652785408095,38.348195182018856,37.71088947199908,-4.141862610244785,0.34982761286496367,0.4772651105356822,5.0,,
A,sigma5,5,8917,-13.799031293029888,13.913730402304022,-0.19933191961299404,-41.045293787023525,35.08614621882763,34.36925931363607,-3.32056987198147,0.39741009176782394,0.49803650569299845,620,-22.69164946771437,22.71590210699266,-3.538242130414814,-51.78470615386963,47.53158717348899,47.371175234094274,-15.884801795722797,0.029362585359006932,0.03801350531803671,9537,-14.377140055565736,14.485959243334426,-0.38187799938153094,-42.213891433035066,38.290607262986306,37.645909902743085,-4.110608255262567,0.3615932978096562,0.486686097473751,5.0,,
A,sigma10,1,8917,-17.588545444287888,17.68249210761082,-5.8741025840580905,-43.05485094510592,21.855641769574028,22.12556665569379,-0.9194470046861554,0.5275737832533784,0.6088340511719132,620,-34.56069592814292,34.571672830274025,-17.044565261678493,-62.370748100280764,28.651702478054816,29.06277341098564,-5.691747360481088,0.12872833104549272,0.12685987649818953,9537,-18.691904288787217,18.780457091153988,-6.48481806972869,-45.156689590935606,23.605496344707216,23.87383227597194,-1.1807030115054675,0.5032341753178703,0.6068145563917975,10.0,,
A,sigma10,2,8917,-16.584096113929863,16.77026013909828,-4.936298556754196,-41.888725457756216,22.763551692713705,22.908029345229167,-1.0451244051577788,0.5231861661066142,0.6070089943261018,620,-31.724056883781188,31.724056883781188,-14.533403961371024,-59.614597969055175,29.880511293765206,30.17835945854973,-6.1632861063335955,0.15295265329195368,0.15708963239858678,9537,-17.568344376203935,17.74240588531862,-5.4609948972159925,-43.8175472761783,24.596031544372057,24.74024635036534,-1.3271876057768184,0.5004153983277537,0.6060569484134212,10.0,,
A,sigma10,3,8917,-15.629364968950444,15.92368800877803,-4.048738791181769,-40.857019855280356,23.62134964492704,23.654761838809282,-1.1673533465229466,0.5146546977325523,0.593730850164608,620,-30.704262807292324,30.711773010992236,-13.553551839598526,-57.653202514648434,31.264077942762825,31.499368958429073,-6.804561317563675,0.12662544425652003,0.12787237943870736,9537,-16.609383492571286,16.885060841049476,-4.5683892913084705,-42.684678468922144,25.589204796923973,25.631704060022276,-1.489901503205223,0.49122361336466913,0.5914058092002493,10.0,,
A,sigma10,5,8917,-14.704355404357464,15.115665882414762,-3.1654300494111887,-40.118775583157756,24.013968696951153,23.971232408848795,-1.2265010872211186,0.5066077165857009,0.5953650950999977,620,-31.289191221421763,31.31171440001457,-13.863556209185445,-60.054190406799314,31.763711015641267,32.022446341265635,-7.05986496730336,0.11033094112764509,0.12145785835162798,9537,-15.782534937395093,16.1685703681977,-3.7503217859478966,-42.28802638007196,26.009377895627164,26.000242212947768,-1.5625420811584543,0.48277428295014196,0.5947490751499726,10.0,,
A,sigma20,1,8917,-21.29903351898296,21.498393908602594,-11.241993117420472,-45.05228050171383,5.205182608593663,8.685324358680333,0.5816188890664509,0.5464339214258824,0.6347936327330618,620,-41.087174097857165,41.12790010119638,-25.898593529741813,-66.4749513244629,2.7544518471821267,6.103403018809963,0.4125809063964533,0.31307577910677065,0.33006376733170883,9537,-22.585459770309583,22.77450734463155,-12.043303958109618,-47.383365466104365,4.574166698167185,8.034646863834938,0.6212391739860169,0.5269549028641501,0.6346190877838561,20.0,,
A,sigma20,2,8917,-18.72516899920638,19.174909759960837,-8.865267610481473,-42.407644546657835,6.986225516633551,9.663534685233017,0.507318487198289,0.5419580136791274,0.6307217420496694,620,-40.677482849359514,40.677482849359514,-25.722485211724084,-65.16770978927612,3.8316501434735333,6.783505065941785,0.327721264413653,0.28193102079205246,0.3008898575561604,9537,-20.152288070937004,20.572791202283074,-9.786891372317536,-44.884256651404115,6.173983191835292,8.937730057174504,0.556132028529281,0.5207583257180151,0.6307686540755074,20.0,,
A,sigma20,3,8917,-17.77363243693392,18.350202554863397,-7.885477803005753,-40.94573879707718,7.993178742384077,10.25728796021037,0.4589611297079431,0.5380523158422397,0.6266766657154265,620,-41.76474001061532,41.800859508591316,-25.380429606065682,-68.54668531417846,4.620880886647853,7.323077255197446,0.24789585849378215,0.2642630773542908,0.2901947149918831,9537,-19.33329340953353,19.874728853627296,-8.841967994642609,-43.94910620916655,7.124877076948984,9.517828999395473,0.5110316479419419,0.5161150013031697,0.6263496082838642,20.0,,
A,sigma20,5,8917,-15.752811146327916,16.727160526415524,-6.084097808579913,-38.42528933104723,9.615841559907574,11.35471315371579,0.3646404080989111,0.5358848671160723,0.6219821118277704,620,-42.126346275883336,42.13058794852226,-26.28652553609077,-67.30049674987794,5.356423061949271,7.932474245879706,0.15885459173986483,0.21585114953391984,0.23258366932853458,9537,-17.4673536419056,18.378636357568528,-7.188612081390705,-41.56731407738354,8.519123436604433,10.492264788257442,0.4304523393908313,0.511519270992275,0.6205361253699886,20.0,,
B,W2-4,1,8917,-23.928092715718012,24.633856141220978,-16.235322982195072,-40.90782767541534,-1.5452934946906003,7.40923387760126,0.6341901839182413,0.5095501934206421,0.6006645083031387,620,-42.04060524283878,42.389268302196456,-30.544695036208378,-63.054367027282716,-0.07546805426311025,4.894269164517344,0.5081673725200258,0.3327671217795145,0.32982203718283337,9537,-25.105586452408257,25.788134796962282,-17.01765003129002,-43.31767961794715,-1.1668417883411224,6.7754303167165695,0.6712456619243484,0.49575476163509247,0.6033454620180272,,2.0,4.0
B,W2-4,2,8917,-20.955564906167464,22.103858098783768,-13.08116338441761,-38.755032507345646,0.710859374569413,7.335614346512283,0.6498627041560416,0.5073536094652674,0.6033641210378397,620,-39.109723992501536,39.41936840857229,-27.06076238425911,-64.37768423080445,0.6919322187942816,4.97885301127789,0.524149008489002,0.3572837827816764,0.3726498994423661,9537,-22.13576608405644,23.229538752245954,-13.84546096447874,-41.543133891835176,0.7059859969543422,6.741680078307274,0.6847663840627625,0.49456378263739875,0.6058209193317903,,2.0,4.0
