W,segment,n_obs,n_gt63,bias_gt63,mae_gt63,mae_global,r2_global,pr_auc_troncon,pr_auc_tour,n_tours,n_tours_gt63
1,bas,251106,8917,-28.10314259513606,28.366704554492024,7.506187283446403,0.6170304816181136,0.49187962280646613,0.5880528549569309,31392,2357
1,haut,84603,620,-43.858697367994296,44.39623964960657,4.775893699563974,0.5101461756476031,0.30766859207404135,0.3126193411038228,12353,110
1,global,335709,9537,-29.127410599662863,29.408784009139296,6.8181180685096425,0.6586008754969208,0.4759245050284993,0.5902590576472103,32107,2380
2,bas,251106,8917,-24.994831474035646,25.46045146466264,7.44276833065082,0.6310704215924023,0.5232421461465893,0.6137060253580884,31392,2357
2,haut,84603,620,-41.24774699403394,41.74996682790018,4.757160264514768,0.5276965028611252,0.36182720231996046,0.3587415454888698,12353,110
2,global,335709,9537,-26.051432881438284,26.519432226454324,6.765960442809541,0.6710715821486304,0.5089842187417326,0.6161929525711859,32107,2380
3,bas,251106,8917,-23.242527687510822,23.859700645715435,7.426223110402535,0.6312940223950456,0.5206326643609351,0.6100419749958161,31392,2357
3,haut,84603,620,-41.09252830628426,41.74776888816587,4.8038393555316325,0.5182593302560248,0.34276317657876904,0.34483619144115113,12353,110
3,global,335709,9537,-24.40295553522389,25.022603268166865,6.765348564848669,0.6701931416433686,0.5047388276889687,0.6122538996915607,32107,2380
5,bas,251106,8917,-21.961337420067952,22.805034846806052,7.418308958508582,0.6358829352866575,0.5151752153419202,0.60649386492433,31392,2357
5,haut,84603,620,-41.167282275519064,41.58700864113146,4.915092568841323,0.5034312951832175,0.3052823655108191,0.31013733180317393,12353,110
5,global,335709,9537,-23.209915150001862,24.026050234504673,6.787466126725641,0.6719896956438056,0.4988533259524384,0.6070418102294817,32107,2380
10,bas,251106,8917,-19.317589100666268,20.64854695979584,7.646052359795985,0.6170452774624573,0.5144627140698708,0.6126689722615062,31392,2357
10,haut,84603,620,-40.21994359916256,40.69861296876784,4.954221278655671,0.49013480678007537,0.319075947369073,0.3302510751198578,12353,110
10,global,335709,9537,-20.67645035568018,21.95200097317139,6.96767619187164,0.6563937986331714,0.4995406788648897,0.61291665124764,32107,2380
20,bas,251106,8917,-17.23888384837319,18.773374124186663,7.8443458166018205,0.6060421249790847,0.5185044295704899,0.6168147635767603,31392,2357
20,haut,84603,620,-39.29126512946621,39.36033955101044,5.108048824730317,0.4788570796014451,0.2811041205683206,0.30147433730519163,12353,110
20,global,335709,9537,-18.672508299906973,20.111731947887066,7.154763665383638,0.646894971959708,0.5008628142725117,0.6167958794503421,32107,2380
