cellule,fold,max_depth,min_child_weight,n_estimators,learning_rate,wf_pr_auc_haut,seuil_f2
APC_Global,Fold1,4,1,300,0.1,0.03269231711789321,32.87305450439453
APC_Global,Fold2,4,1,300,0.1,0.03889661790406119,32.908897399902344
APC_Global,Fold1,4,1,500,0.05,0.024176109783914247,39.8309326171875
APC_Global,Fold2,4,1,500,0.05,0.047194151124140965,29.709489822387695
APC_Global,Fold1,4,1,800,0.05,0.024951548852530023,42.04920959472656
APC_Global,Fold2,4,1,800,0.05,0.04243792187421371,32.81910705566406
APC_Global,Fold1,4,5,300,0.1,0.02806397257290151,31.379425048828125
APC_Global,Fold2,4,5,300,0.1,0.03512563011781239,30.933483123779297
APC_Global,Fold1,4,5,500,0.05,0.02969633719839864,24.26781463623047
APC_Global,Fold2,4,5,500,0.05,0.040636661648496226,30.22410774230957
APC_Global,Fold1,4,5,800,0.05,0.03111673690702433,29.36983871459961
APC_Global,Fold2,4,5,800,0.05,0.037306733465130464,31.066274642944336
APC_Global,Fold1,4,10,300,0.1,0.030101507974746606,38.07027816772461
APC_Global,Fold2,4,10,300,0.1,0.03328886511189568,29.65674591064453
APC_Global,Fold1,4,10,500,0.05,0.03273566660453922,32.84382247924805
APC_Global,Fold2,4,10,500,0.05,0.036073386811414886,32.6180419921875
APC_Global,Fold1,4,10,800,0.05,0.035080254925528596,44.652671813964844
APC_Global,Fold2,4,10,800,0.05,0.031901903532034516,31.723705291748047
APC_Global,Fold1,6,1,300,0.1,0.05105520126455212,32.02642059326172
APC_Global,Fold2,6,1,300,0.1,0.02556423648700503,32.41293716430664
APC_Global,Fold1,6,1,500,0.05,0.02629390953871847,32.362815856933594
APC_Global,Fold2,6,1,500,0.05,0.03057413654325722,34.425071716308594
APC_Global,Fold1,6,1,800,0.05,0.02731726129916317,31.76312255859375
APC_Global,Fold2,6,1,800,0.05,0.03269016113402977,32.78899383544922
APC_Global,Fold1,6,5,300,0.1,0.0483179564977368,40.62746810913086
APC_Global,Fold2,6,5,300,0.1,0.02618513635759192,31.21506118774414
APC_Global,Fold1,6,5,500,0.05,0.03450954898764503,39.07194519042969
APC_Global,Fold2,6,5,500,0.05,0.02928933989206099,30.61801528930664
APC_Global,Fold1,6,5,800,0.05,0.03551366184590183,37.760169982910156
APC_Global,Fold2,6,5,800,0.05,0.025914191010544544,29.383861541748047
APC_Global,Fold1,6,10,300,0.1,0.034311762249928685,28.25640106201172
APC_Global,Fold2,6,10,300,0.1,0.022430963078593793,30.00753402709961
APC_Global,Fold1,6,10,500,0.05,0.03412297982757596,26.622303009033203
APC_Global,Fold2,6,10,500,0.05,0.029037311565144587,36.066410064697266
APC_Global,Fold1,6,10,800,0.05,0.03474586761803856,28.723552703857422
APC_Global,Fold2,6,10,800,0.05,0.026038868555385696,36.792911529541016
APC_Global,Fold1,8,1,300,0.1,0.04376945058742732,33.868797302246094
APC_Global,Fold2,8,1,300,0.1,0.029990307177134114,28.673545837402344
APC_Global,Fold1,8,1,500,0.05,0.040257758626696866,32.597225189208984
APC_Global,Fold2,8,1,500,0.05,0.037231893268166096,38.05561447143555
APC_Global,Fold1,8,1,800,0.05,0.04127125905882797,33.34416580200195
APC_Global,Fold2,8,1,800,0.05,0.03636840202827665,38.004425048828125
APC_Global,Fold1,8,5,300,0.1,0.03923606139505152,38.24436569213867
APC_Global,Fold2,8,5,300,0.1,0.01980312306234614,32.83641815185547
APC_Global,Fold1,8,5,500,0.05,0.03531569615955476,36.98600769042969
APC_Global,Fold2,8,5,500,0.05,0.036068340552221315,40.67093276977539
APC_Global,Fold1,8,5,800,0.05,0.03690769070439189,36.42422103881836
APC_Global,Fold2,8,5,800,0.05,0.03457053942747484,36.472808837890625
APC_Global,Fold1,8,10,300,0.1,0.05539905336844011,47.586647033691406
APC_Global,Fold2,8,10,300,0.1,0.022918703813768357,29.64700698852539
APC_Global,Fold1,8,10,500,0.05,0.04322372115592398,35.68318176269531
APC_Global,Fold2,8,10,500,0.05,0.039171304337085724,39.93285369873047
