model,loss,w_ratio,r2_haut,mae_ge80_haut,bias_ge80_haut,r2_bas,bias_ge80_bas,r2_global,bias_ge80_global,pr_auc_haut
APC_Seg,mse,1,0.30587304945151894,60.490625791135045,-59.46854658873185,0.494447789214433,-44.37081500710241,0.5104891722035912,-46.785612130728815,0.2539451751772497
Enrichi_Seg,mse,1,0.48031637181304043,50.368775385151736,-50.368775385151736,0.5557402887760545,-39.83508024310434,0.5841492027703575,-41.519885446630695,0.1911033769050431
APC_Seg_w10,mse_weighted,10,0.28663436459243896,57.34307821854301,-57.18802153545877,0.47951870312081024,-42.50541038986863,0.4962333769023871,-44.85381133805064,0.2904580551729003
Enrichi_Seg_w10,mse_weighted,10,0.46179567751487693,44.07238642651102,-43.669343107472294,0.5446793439843891,-37.8236305634707,0.5729107357739841,-38.75861935701755,0.17432152938811415
APC_Seg_w20,mse_weighted,20,0.2818663422238077,58.493369576697766,-58.458505950466446,0.4672345280152034,-42.521658301353455,0.48625677990976257,-45.070667313381264,0.23732485074539728
Enrichi_Seg_w20,mse_weighted,20,0.4434495051727959,43.084461344014045,-42.57285123659217,0.5351513893279111,-36.837487355604864,0.5628506304658158,-37.75482650207711,0.15259763213295352
APC_Seg_quantile_0.85,quantile_0.85,1,0.16367435600503133,48.00049191682235,-46.32131599757982,0.3119351618070544,-32.346611703468476,0.35094997275117346,-34.58178693827071,0.274107491493899
Enrichi_Seg_quantile_0.85,quantile_0.85,1,0.3473731423943318,39.56703946818476,-39.23843820820684,0.35789923062705686,-25.562258955027094,0.4145713030798178,-27.74968679107114,0.15555663681907764
APC_Seg_quantile_0.90,quantile_0.90,1,-0.03305077971190595,45.41316013667895,-43.76842065064803,0.16122987412909617,-28.516653051123715,0.20664262023501778,-30.956087368154726,0.25178929037422737
Enrichi_Seg_quantile_0.90,quantile_0.90,1,0.19830886977085727,35.67244668711787,-34.18699139138926,0.20369548558260875,-21.886313168734116,0.2751930626098903,-23.853737362900098,0.2059718436654417
APC_Seg_quantile_0.95,quantile_0.95,1,-0.4634620833364471,39.32527723727019,-36.8747982970528,-0.13746388371236984,-24.14861015389297,-0.08579179118571978,-26.184092263021455,0.24704941780663148
Enrichi_Seg_quantile_0.95,quantile_0.95,1,0.0243277551557457,33.96636464326278,-31.8049599324102,-0.06233667162507062,-18.923958197966318,0.047924129949498684,-20.98420186898307,0.15698942522126097
APC_Seg_tweedie,tweedie,1,0.3140775464762907,65.59037462400353,-64.14659386759219,0.4946800330846235,-46.12369727583121,0.511964064891832,-49.00635806589034,0.27884686027369243
Enrichi_Seg_tweedie,tweedie,1,0.37417790250856353,64.46575344251549,-64.46575344251549,0.4932750266963517,-48.453309324087684,0.5204364588990461,-51.01440956556084,0.26129061515992447
