n_obs,n_surch,r2,r2_ci_lo,r2_ci_hi,mae,mae_ge80,bias_ge80,bias_ge80_ci_lo,bias_ge80_ci_hi,pr_auc,model,arch,n_feats,segment,loss,w_ratio
223211,1215,0.4894107330288243,0.48546310926471076,0.49326923018466984,9.17653894774416,44.78851386300775,-44.68831064827395,-45.47897940958697,-43.8963467707326,0.19852319656983228,APC_Global,global,38,bas,mse,1
77262,297,0.28327049584866637,0.2721475339799935,0.2951488912522105,7.280166481484491,61.92272765242535,-61.71670146568962,-63.83121486160132,-59.470304385945106,0.30129058122395785,APC_Global,global,38,haut,mse,1
300473,1512,0.5031253203022468,0.49917690879758997,0.5066955003307011,8.688916001628687,47.52903484462531,-47.41190584160191,-48.18186679879818,-46.63341376665424,0.20674506984049917,APC_Global,global,38,global,mse,1
223211,1215,0.494447789214433,0.49050243832587753,0.4983748979854252,9.192268188723506,44.50211343607366,-44.37081500710241,-45.17597435001153,-43.58880236147019,0.21727361623121597,APC_Seg,seg,38,bas,mse,1
77262,297,0.30587304945151894,0.2953765680935534,0.3166296628446664,7.214463902722645,60.490625791135045,-59.46854658873185,-61.57521926711921,-57.223101852039605,0.2539451751772497,APC_Seg,seg,38,haut,mse,1
300473,1512,0.5104891722035912,0.5070150587045518,0.5141512494048345,8.683706305476099,47.05938592679975,-46.785612130728815,-47.58486644545732,-45.957532007453366,0.2151061592337195,APC_Seg,seg,38,global,mse,1
223211,1215,0.547150837830052,0.5430311316054178,0.5506265918989278,8.690482792601674,41.17766721611781,-41.10549177965581,-41.84544031108403,-40.35790763740072,0.23155919901602107,Enrichi_Global,global,179,bas,mse,1
77262,297,0.45727049107463125,0.4452488560617907,0.4679079433269863,6.278339216311486,53.225339502251664,-53.201495401962944,-55.45577532622084,-51.01092324028962,0.1320085552376487,Enrichi_Global,global,179,haut,mse,1
300473,1512,0.5740485682439138,0.5708767003046599,0.5774168219851575,8.070237256425935,43.10462453587496,-43.040179424392,-43.8060371459857,-42.33493466356637,0.20191227738311787,Enrichi_Global,global,179,global,mse,1
223211,1215,0.5557402887760545,0.5517400990797565,0.5590389153809306,8.613635403463977,40.06167277058229,-39.83508024310434,-40.54773578325935,-39.05052401325982,0.2354464698126392,Enrichi_Seg,seg,179,bas,mse,1
77262,297,0.48031637181304043,0.46927603739171225,0.4907818225239221,6.191223795666575,50.368775385151736,-50.368775385151736,-52.397752253224745,-48.37754463084238,0.1911033769050431,Enrichi_Seg,seg,179,haut,mse,1
300473,1512,0.5841492027703575,0.5811694269092015,0.5875773381912358,7.990749601273289,41.71023577569423,-41.519885446630695,-42.296091251816755,-40.82355205002326,0.22025869303471807,Enrichi_Seg,seg,179,global,mse,1
