n_obs,n_surch,r2,r2_ci_lo,r2_ci_hi,mae,mae_ge80,bias_ge80,bias_ge80_ci_lo,bias_ge80_ci_hi,pr_auc,model,fname,arch,n_feats,segment,loss,w_ratio
223211,1215,0.3119351618070544,0.3047002992559119,0.31897184105769094,11.83838538848394,34.093872109154205,-32.346611703468476,-33.22105097209907,-31.45248440630877,0.19456507925179195,APC_Seg_quantile_0.85,APC,seg,38,bas,quantile_0.85,1
77262,297,0.16367435600503133,0.14531459431085192,0.18039104195387362,9.401798492458461,48.00049191682235,-46.32131599757982,-48.6061321884303,-43.95719586906364,0.274107491493899,APC_Seg_quantile_0.85,APC,seg,38,haut,quantile_0.85,1
300473,1512,0.35094997275117346,0.3454480471820923,0.3559173095380115,11.211854629444957,36.31815761385773,-34.58178693827071,-35.40402848562559,-33.74759062433504,0.2013487856821471,APC_Seg_quantile_0.85,APC,seg,38,global,quantile_0.85,1
223211,1215,0.16122987412909617,0.15233243340784164,0.1704759683053336,13.392887147141655,31.34997712981622,-28.516653051123715,-29.40218980038643,-27.61804905631774,0.1975967282324563,APC_Seg_quantile_0.90,APC,seg,38,bas,quantile_0.90,1
77262,297,-0.03305077971190595,-0.05950122045622006,-0.010795028791248334,10.965193849828019,45.41316013667895,-43.76842065064803,-46.03124141892787,-41.30181118430068,0.25178929037422737,APC_Seg_quantile_0.90,APC,seg,38,haut,quantile_0.90,1
300473,1512,0.20664262023501778,0.1996392203197535,0.2131932827605693,12.768643239911901,33.599304036338076,-30.956087368154726,-31.780514606590156,-30.108585349221528,0.19627041216086483,APC_Seg_quantile_0.90,APC,seg,38,global,quantile_0.90,1
223211,1215,-0.13746388371236984,-0.1495214095223927,-0.12379694479985687,16.06620692507038,27.694890177328855,-24.14861015389297,-24.954047968808307,-23.26905569318381,0.17711313810868076,APC_Seg_quantile_0.95,APC,seg,38,bas,quantile_0.95,1
77262,297,-0.4634620833364471,-0.5076153038747185,-0.42482816114405836,13.631150374496832,39.32527723727019,-36.8747982970528,-39.224659382498444,-34.45978725496883,0.24704941780663148,APC_Seg_quantile_0.95,APC,seg,38,haut,quantile_0.95,1
300473,1512,-0.08579179118571978,-0.09596465802145762,-0.07600481250918084,15.440069670773276,29.555105075650488,-26.184092263021455,-26.999205602788805,-25.333119030644276,0.18201687432556246,APC_Seg_quantile_0.95,APC,seg,38,global,quantile_0.95,1
223211,1215,0.4946800330846235,0.4908425465496883,0.4985072477667298,9.039824381758208,46.26184184851236,-46.12369727583121,-46.9530027754232,-45.31799163809934,0.20383924011238566,APC_Seg_tweedie,APC,seg,38,bas,tweedie,1
77262,297,0.3140775464762907,0.30305274601024185,0.32430030189504705,6.6221687406759155,65.59037462400353,-64.14659386759219,-66.50206537826315,-61.8121158330099,0.27884686027369243,APC_Seg_tweedie,APC,seg,38,haut,tweedie,1
300473,1512,0.511964064891832,0.5083490758468296,0.5153524423294851,8.41816150309257,49.35333179174113,-49.00635806589034,-49.74807883271479,-48.209941627212594,0.1985569747559513,APC_Seg_tweedie,APC,seg,38,global,tweedie,1
223211,1215,0.35789923062705686,0.3506023361018837,0.3647280332739207,11.508423125949722,28.9842549087196,-25.562258955027094,-26.398433014974916,-24.667513458324397,0.23018024442996754,Enrichi_Seg_quantile_0.85,Enrichi,seg,179,bas,quantile_0.85,1
77262,297,0.3473731423943318,0.3303806089212242,0.36474883380034995,8.293025346733465,39.56703946818476,-39.23843820820684,-41.52929472722574,-37.08550596818899,0.15555663681907764,Enrichi_Seg_quantile_0.85,Enrichi,seg,179,haut,quantile_0.85,1
300473,1512,0.4145713030798178,0.4093016801736881,0.419476587858936,10.68163315407935,30.67691168804991,-27.74968679107114,-28.64187465890588,-26.934490925085385,0.20701801233382944,Enrichi_Seg_quantile_0.85,Enrichi,seg,179,global,quantile_0.85,1
223211,1215,0.20369548558260875,0.1949523497577349,0.212651915456449,13.215354596337864,26.14180636311209,-21.886313168734116,-22.733199210179436,-20.979620925706595,0.24165525105098534,Enrichi_Seg_quantile_0.90,Enrichi,seg,179,bas,quantile_0.90,1
77262,297,0.19830886977085727,0.17601014630093667,0.22027723848546837,9.671838302434702,35.67244668711787,-34.18699139138926,-36.693628880791046,-31.916701309100024,0.2059718436654417,Enrichi_Seg_quantile_0.90,Enrichi,seg,179,haut,quantile_0.90,1
300473,1512,0.2751930626098903,0.26862932600182177,0.2812246631889507,12.304194006535965,27.666178598523306,-23.853737362900098,-24.70068945559108,-23.06447002866398,0.22803316636534374,Enrichi_Seg_quantile_0.90,Enrichi,seg,179,global,quantile_0.90,1
223211,1215,-0.06233667162507062,-0.07446443971075566,-0.05039780134379785,15.785406707349905,23.68691597679593,-18.923958197966318,-19.738157795967783,-18.05144110670093,0.2163019748257027,Enrichi_Seg_quantile_0.95,Enrichi,seg,179,bas,quantile_0.95,1
77262,297,0.0243277551557457,-0.006250786258983465,0.05187081798938576,11.029085126948043,33.96636464326278,-31.8049599324102,-34.106124213100316,-29.431991207602135,0.15698942522126097,Enrichi_Seg_quantile_0.95,Enrichi,seg,179,haut,quantile_0.95,1
300473,1512,0.047924129949498684,0.038729387332122146,0.05581028625985077,14.56239193415894,25.331055888678666,-20.98420186898307,-21.808259162739144,-20.21633682761882,0.1967745378040412,Enrichi_Seg_quantile_0.95,Enrichi,seg,179,global,quantile_0.95,1
223211,1215,0.4932750266963517,0.4895341611789056,0.49678666462278037,8.93544514420889,48.625745433213694,-48.453309324087684,-49.2583156120743,-47.63781364139844,0.21394945028632018,Enrichi_Seg_tweedie,Enrichi,seg,179,bas,tweedie,1
77262,297,0.37417790250856353,0.3645148293712814,0.38397787132536826,6.050207203026143,64.46575344251549,-64.46575344251549,-66.5752115216792,-62.31750298542911,0.26129061515992447,Enrichi_Seg_tweedie,Enrichi,seg,179,haut,tweedie,1
300473,1512,0.5204364588990461,0.5171902624698838,0.523719013160111,8.193550685100547,51.15926549033429,-51.01440956556084,-51.81546905142697,-50.213658894464714,0.20546775352905686,Enrichi_Seg_tweedie,Enrichi,seg,179,global,tweedie,1
