feature,mean_abs_shap,rank
histo_voyageurs_total_win7_mean,2.6476066,1
spatial_gare_arrivee_ordre,2.5626929,2
histo_voyageurs_2eme_classe_win7_mean,2.1941805,3
spatial_gare_depart_ordre,1.3427209,4
vmcv_n_lignes_concurrentes,1.3147922,5
histo_voyageurs_total_win7_median,0.8889648,6
cal_depart_minute_du_jour,0.86225915,7
cal_annee_civile,0.8315455,8
cal_type_jour,0.82299054,9
event_is_vacances_vaud,0.81979424,10
histo_voyageurs_total_lag2,0.74724954,11
resa_pax_2c_J_minus_1,0.6445501,12
cal_jour_semaine,0.5949846,13
cal_minute_arrivee,0.490402,14
cal_arrivee_minute_du_jour,0.48316735,15
histo_voyageurs_2eme_classe_win7_median,0.4740381,16
spatial_denivele_troncon_m,0.45777,17
ist_headway_apres_min,0.4475759,18
meteo_ensol_total_j,0.41227004,19
cal_minute_depart,0.39617532,20
meteo_temperature_max_j,0.39405823,21
histo_voyageurs_2eme_classe_win7_max,0.39270183,22
ist_headway_avant_min,0.36665562,23
cal_mois_horaire,0.34022564,24
meteo_rayon_global_moy_j,0.29047823,25
histo_voyageurs_2eme_classe_win7_std,0.26452038,26
meteo_ensol_total_j_plus_1,0.2628094,27
simba_part_premiere_classe,0.26278675,28
meteo_destination_ensoleillement_min_h,0.26274654,29
event_covid_phase,0.25385988,30
cal_mois,0.25162336,31
cal_heure_depart,0.25087243,32
histo_voyageurs_total_win7_max,0.24559277,33
simba_part_autre,0.2441669,34
histo_voyageurs_2eme_classe_lag2,0.22707053,35
spatial_gare_arrivee_part_pop_80_plus,0.21191375,36
ist_profil_train_retard_arr_troncon_mean_20occ,0.20507582,37
histo_voyageurs_1ere_classe_win7_median,0.19878575,38
simba_part_jeunes,0.19761947,39
ist_corresp_in_n_garanties_moy_20occ,0.19284014,40
spatial_gare_depart_part_pop_65_plus,0.18633294,41
cal_jour,0.18337454,42
simba_part_billet_hta,0.18261142,43
meteo_vent_max_j,0.16380276,44
meteo_ensol_total_j_moins_1,0.16280743,45
spatial_distance_km,0.14725998,46
meteo_temperature_h,0.14687753,47
ist_corresp_in_n_theoriques_moy_20occ,0.14429443,48
simba_part_intra_r35,0.1411777,49
vmcv_delta_attente_min,0.13661318,50
spatial_gare_arrivee_part_menages_1p,0.131185,51
histo_voyageurs_total_win7_std,0.12653174,52
simba_part_spar,0.12258961,53
meteo_destination_rayon_global_moy_j,0.12242742,54
simba_part_corresp_amont,0.11448053,55
vmcv_delta_frequence_h,0.11036269,56
cal_jour_semaine_iso,0.10904568,57
meteo_destination_ensol_total_j,0.10713978,58
meteo_destination_temperature_max_j,0.106493205,59
simba_part_mobilis,0.10624613,60
event_n_manifestations_blonay_j,0.10195803,61
resa_max_groupe_2c_J_minus_1,0.094010994,62
spatial_gare_depart_part_pop_80_plus,0.09346652,63
vmcv_min_attente_min,0.09230673,64
meteo_destination_temperature_h,0.09150799,65
simba_part_corresp_aval,0.089925595,66
simba_part_ga,0.089675374,67
event_is_manifestation_riviera,0.08880376,68
histo_voyageurs_1ere_classe_win7_mean,0.08864294,69
simba_part_abonnement,0.087776996,70
cal_heure_arrivee,0.08485713,71
histo_voyageurs_1ere_classe_lag2,0.08482577,72
meteo_destination_precip_total_j,0.08191447,73
meteo_precip_total_j_moins_1,0.077502474,74
spatial_gare_depart_part_menages_1p,0.0769161,75
meteo_destination_ensol_total_j_plus_1,0.07670739,76
meteo_ensoleillement_min_h,0.075631745,77
event_is_vacances_ou_ferie_vaud,0.073815264,78
histo_voyageurs_1ere_classe_win7_std,0.06983808,79
event_n_manifestations_riviera,0.06836121,80
meteo_precip_total_j_plus_1,0.06828212,81
meteo_destination_vent_max_j,0.068123385,82
meteo_vent_max_h,0.06801348,83
event_is_montreux_jazz,0.06540035,84
ist_corresp_out_n_theoriques_moy_20occ,0.0634337,85
ist_corresp_out_n_garanties_moy_20occ,0.06209511,86
meteo_destination_vent_max_h,0.060031317,87
ist_profil_train_retard_dep_troncon_mean_20occ,0.05487593,88
