feature,mean_abs_shap,rank
cal_type_jour,1.4858902,1
histo_voyageurs_total_win7_mean,1.1776167,2
resa_pax_2c_J_minus_1,0.9673495,3
meteo_ensoleillement_min_h,0.92159325,4
cal_mois,0.6748392,5
histo_voyageurs_total_win7_max,0.65828806,6
resa_n_dossiers_J_minus_1,0.6580816,7
meteo_temperature_h,0.6050553,8
cal_depart_minute_du_jour,0.5818905,9
event_covid_phase,0.49752712,10
histo_voyageurs_total_win7_median,0.4708752,11
histo_voyageurs_2eme_classe_win7_median,0.40539554,12
spatial_gare_depart_ordre,0.3535657,13
meteo_neige_binaire_h,0.3409276,14
histo_voyageurs_2eme_classe_win7_max,0.33520806,15
cal_minute_arrivee,0.33305985,16
meteo_ensol_total_j_moins_1,0.33072373,17
spatial_gare_depart_menages_500m_total,0.3289736,18
histo_voyageurs_total_lag2,0.3113376,19
meteo_destination_temperature_h,0.30451334,20
meteo_temperature_max_j,0.28400156,21
cal_heure_depart,0.27763495,22
cal_arrivee_minute_du_jour,0.24863388,23
meteo_ensol_total_j,0.24408388,24
meteo_destination_rayon_global_moy_j,0.24156979,25
resa_n_pays_distincts_J_minus_1,0.2409291,26
meteo_destination_ensoleillement_min_h,0.23311435,27
histo_voyageurs_2eme_classe_lag2,0.23059753,28
histo_voyageurs_2eme_classe_win7_std,0.23004879,29
ist_corresp_in_n_garanties_moy_20occ,0.22712381,30
histo_voyageurs_2eme_classe_win7_mean,0.21688755,31
cal_mois_horaire,0.21686672,32
spatial_gare_arrivee_menages_500m_total,0.21505593,33
meteo_destination_temperature_max_j,0.21375547,34
histo_voyageurs_total_win7_std,0.20299926,35
cal_jour_semaine_iso,0.19832331,36
cal_minute_depart,0.19610605,37
meteo_rayon_global_moy_j,0.19059749,38
ist_headway_apres_min,0.18797442,39
meteo_precip_total_j,0.18382971,40
histo_voyageurs_1ere_classe_win7_std,0.18270302,41
cal_jour_semaine,0.18092461,42
spatial_gare_depart_pop_500m_total,0.17803109,43
histo_voyageurs_1ere_classe_win7_max,0.17615075,44
meteo_vent_max_j,0.17420754,45
histo_voyageurs_1ere_classe_win7_mean,0.16906448,46
meteo_destination_precip_total_j,0.14867225,47
cal_heure_arrivee,0.14685933,48
spatial_gare_arrivee_ordre,0.14606862,49
meteo_destination_ensol_total_j,0.1304804,50
meteo_destination_vent_max_h,0.12854448,51
event_n_manifestations_riviera,0.1271776,52
vmcv_min_attente_min,0.12539919,53
meteo_vent_max_h,0.122634545,54
resa_max_groupe_2c_J_minus_1,0.117635846,55
