canton,type,debut,fin,n_jours
fribourg,vacances,2021-12-24,2022-01-07,15
fribourg,vacances,2022-02-28,2022-03-04,5
fribourg,vacances,2022-04-15,2022-04-29,15
fribourg,vacances,2022-07-09,2022-08-24,47
fribourg,vacances,2022-10-17,2022-10-28,12
fribourg,vacances,2022-12-26,2023-01-06,12
fribourg,vacances,2023-02-20,2023-02-24,5
fribourg,vacances,2023-04-07,2023-04-21,15
fribourg,vacances,2023-07-08,2023-08-23,47
fribourg,vacances,2023-10-16,2023-10-27,12
fribourg,vacances,2023-12-25,2024-01-05,12
fribourg,vacances,2024-02-12,2024-02-16,5
fribourg,vacances,2024-03-29,2024-04-12,15
fribourg,vacances,2024-07-06,2024-08-21,47
fribourg,vacances,2024-10-14,2024-10-25,12
fribourg,vacances,2024-12-23,2025-01-03,12
fribourg,vacances,2025-03-03,2025-03-07,5
fribourg,vacances,2025-04-18,2025-05-02,15
fribourg,vacances,2025-07-05,2025-08-27,54
fribourg,vacances,2025-10-13,2025-10-24,12
fribourg,vacances,2025-12-22,2025-12-31,10
geneve,vacances,2021-12-24,2022-01-07,15
geneve,vacances,2022-02-14,2022-02-18,5
geneve,vacances,2022-04-14,2022-04-22,9
geneve,vacances,2022-07-04,2022-08-21,49
geneve,vacances,2022-10-24,2022-10-28,5
geneve,vacances,2022-12-26,2023-01-06,12
geneve,vacances,2023-02-20,2023-02-24,5
geneve,vacances,2023-04-07,2023-04-21,15
geneve,vacances,2023-07-03,2023-08-20,49
geneve,vacances,2023-10-23,2023-10-27,5
geneve,vacances,2023-12-25,2024-01-05,12
geneve,vacances,2024-02-19,2024-02-23,5
geneve,vacances,2024-03-29,2024-04-12,15
geneve,vacances,2024-07-01,2024-08-25,56
geneve,vacances,2024-10-21,2024-10-25,5
geneve,vacances,2024-12-23,2025-01-03,12
geneve,vacances,2025-02-24,2025-02-28,5
geneve,vacances,2025-04-18,2025-05-02,15
geneve,vacances,2025-06-30,2025-08-17,49
geneve,vacances,2025-10-20,2025-10-24,5
geneve,vacances,2025-12-22,2025-12-31,10
neuchatel,vacances,2021-12-24,2022-01-07,15
neuchatel,vacances,2022-02-28,2022-03-04,5
neuchatel,vacances,2022-04-11,2022-04-22,12
neuchatel,vacances,2022-07-04,2022-08-12,40
neuchatel,vacances,2022-10-03,2022-10-14,12
neuchatel,vacances,2022-12-26,2023-01-06,12
neuchatel,vacances,2023-02-27,2023-03-03,5
neuchatel,vacances,2023-04-07,2023-04-21,15
neuchatel,vacances,2023-07-03,2023-08-11,40
neuchatel,vacances,2023-10-02,2023-10-13,12
neuchatel,vacances,2023-12-21,2024-01-05,16
neuchatel,vacances,2024-02-26,2024-03-01,5
neuchatel,vacances,2024-03-29,2024-04-12,15
neuchatel,vacances,2024-07-08,2024-08-16,40
neuchatel,vacances,2024-10-07,2024-10-18,12
neuchatel,vacances,2024-12-23,2025-01-03,12
neuchatel,vacances,2025-02-24,2025-02-28,5
neuchatel,vacances,2025-04-14,2025-04-25,12
neuchatel,vacances,2025-07-07,2025-08-15,40
neuchatel,vacances,2025-10-06,2025-10-17,12
neuchatel,vacances,2025-12-22,2025-12-31,10
valais,vacances,2021-12-24,2022-01-07,15
valais,vacances,2022-02-28,2022-03-04,5
valais,vacances,2022-04-15,2022-04-22,8
valais,vacances,2022-06-25,2022-08-17,54
valais,vacances,2022-10-13,2022-10-21,9
valais,vacances,2022-12-26,2023-01-06,12
valais,vacances,2023-02-20,2023-02-24,5
valais,vacances,2023-04-07,2023-04-14,8
valais,vacances,2023-06-24,2023-08-16,54
valais,vacances,2023-10-19,2023-10-27,9
valais,vacances,2023-12-25,2024-01-05,12
valais,vacances,2024-02-12,2024-02-16,5
valais,vacances,2024-03-29,2024-04-05,8
valais,vacances,2024-06-22,2024-08-18,58
valais,vacances,2024-10-17,2024-10-25,9
valais,vacances,2024-12-23,2025-01-03,12
valais,vacances,2025-03-03,2025-03-07,5
valais,vacances,2025-04-18,2025-04-25,8
valais,vacances,2025-06-19,2025-08-20,63
valais,vacances,2025-10-16,2025-10-24,9
valais,vacances,2025-12-22,2025-12-31,10
