abreviation,bpuic,nom,commune,ordre,km,lv95East,lv95North,wgs84East,wgs84North,height
VV,8501200,Vevey,Vevey,0,0.0,2554246.301903333,1145968.7681166667,6.8430185092533335,46.46347934267666,386.4666666666667
GIL,8501260,Gilamont,Vevey,1,1.21,2554991.218,1146845.896,6.852629995,46.47142,
CLIE,8501261,Clies,St-Légier-La Chiésaz,3,1.83,2555163.297,1146437.734,6.854909997,46.46776,
HTV,8501262,Hauteville,St-Légier-La Chiésaz,4,2.46,2555651.0,1146278.0,6.86127453035,46.4663556745,491.9
CHTV,8501263,Château-d'Hauteville,St-Légier-La Chiésaz,5,3.02,2555969.0,1146522.0,6.86539106516,46.46857157057,505.55
STLV,8501264,St-Légier-Village,St-Légier-La Chiésaz,7,4.02,2556847.0,1146807.0,6.8767949206,46.47119252235,554.3
CHIZ,8501265,La Chiésaz,St-Légier-La Chiésaz,8,4.51,2557291.0,1146612.0,6.88259357873,46.4694669447,578.9
CHBL,8501266,Château-de-Blonay,Blonay,9,5.35,2558005.0,1146480.0,6.89190115967,46.46832480145,614.9
STLE,8501280,St-Légier-Gare,St-Légier-La Chiésaz,6,3.6,2556480.0,1146738.0,6.87202330217,46.47054804253,531.9000000000001
BLON,8501281,Blonay,Blonay,10,5.72,2558307.6666666665,1146190.3333333333,6.895867652503334,46.46573808513333,619.8666666666667
PRLZ,8501282,Prélaz-sur-Blonay,Blonay,11,6.17,2558464.42216,1146417.77523,6.89788785738,46.46779377683,661.4
TUS,8501283,Tusinge,Blonay,12,6.94,2558349.0,1147071.0,6.89632629346,46.47366261018,724.2
CHEV,8501284,Les Chevalleyres,Blonay,13,7.35,2558491.0,1147282.0,6.89815616552,46.47556947533,773.8
FAY,8501285,Fayaux,Blonay,15,8.43,2559230.0,1146677.0,6.90783174266,46.47017275409,971.6
OND,8501286,Ondallaz-L'Alliaz,Blonay,16,9.17,2559698.0,1147012.0,6.91389548804,46.4732146068,1087.4
LAL,8501287,Lally,Blonay,17,9.81,2559715.0,1147707.0,6.91405617154,46.47946744234,1234.8
PLEI,8501288,Les Pléiades,Blonay,18,10.51,2559389.5,1148131.0,6.909780383895,46.483261788555,1348.15
VVVI,8502476,Vevey Vignerons,Vevey,2,1.45,2555009.0,1146603.0,6.85288517179,46.46923626108,444.4
BCHX,8530261,Bois-de-Chexbres,Blonay,14,7.71,2558733.0,1147032.0,6.90132947231,46.47333561466,832.4
