,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25
Déc.(ouv.),2.72,2.994,5.402,3.084,1.401,0.308,1.653,0.902,1.897,3.266
Jan,6.417,5.327,5.863,5.485,2.752,2.266,1.562,2.911,3.385,4.364
Fév,5.066,4.656,8.123,7.236,1.523,1.847,1.971,1.861,3.096,2.572
Mar,5.151,4.31,7.514,4.902,2.612,0.826,1.641,1.15,3.164,3.072
Avr,4.996,1.842,4.246,2.748,0.0,0.366,0.935,0.795,1.943,1.552
Mai,6.826,6.28,9.285,5.509,0.059,2.19,3.328,2.614,5.027,6.538
Jun,5.064,3.221,5.887,4.19,0.288,1.083,1.739,1.36,3.441,3.43
Jul,1.673,0.66,1.86,3.57,0.152,0.182,0.16,0.24,0.858,0.812
Aoû,2.117,1.539,2.384,2.575,0.341,0.76,0.956,0.816,1.299,1.866
Sep,4.363,4.671,5.672,2.172,1.198,1.242,2.23,2.042,2.985,3.352
Oct,3.969,2.942,5.463,1.845,0.459,0.732,0.699,1.768,2.458,2.281
Nov,6.675,4.755,6.673,3.372,0.705,2.452,2.546,3.317,3.708,3.371
Déc.(clôt.),6.047,5.863,6.636,2.624,0.858,0.993,2.632,4.138,3.328,3.478
