feature,shap_mean_abs,rank,is_resa
histo_voyageurs_2eme_classe_win7_mean,3.753809,1,False
spatial_gare_depart_ordre,2.969819,2,False
spatial_gare_arrivee_ordre,2.7708855,3,False
horaire_numero_train,1.951175,4,False
ist_headway_apres_min,1.0678098,5,False
cal_depart_minute_du_jour,0.8652322,6,False
cal_mois_horaire,0.6120183,7,False
cal_jour_semaine_iso,0.6081052,8,False
histo_voyageurs_2eme_classe_win7_median,0.57242423,9,False
event_is_vacances_vaud,0.5639509,10,False
resa_pax_2c_J_minus_1,0.53950095,11,True
ist_headway_avant_min,0.48956627,12,False
event_is_vacances_ou_ferie_vaud,0.43755352,13,False
histo_voyageurs_2eme_classe_win7_max,0.42535308,14,False
simba_part_mobilis,0.40345854,15,False
cal_arrivee_minute_du_jour,0.38988212,16,False
cal_type_jour,0.38611984,17,False
simba_part_premiere_classe,0.37027943,18,False
histo_voyageurs_2eme_classe_win7_std,0.35958767,19,False
simba_part_jeunes,0.3470306,20,False
cal_mois,0.34034494,21,False
simba_part_billet_hta,0.32720783,22,False
simba_part_intra_r35,0.31000322,23,False
meteo_ensoleillement_min_h,0.27639005,24,False
meteo_temperature_max_j,0.24234518,25,False
histo_voyageurs_2eme_classe_lag2,0.23702544,26,False
simba_part_corresp_amont,0.22084002,27,False
resa_n_dossiers_J_minus_1,0.2123417,28,True
meteo_ensol_total_j,0.2075666,29,False
vmcv_n_lignes_concurrentes,0.2022847,30,False
cal_jour,0.1966849,31,False
base_sens,0.18086407,32,False
meteo_rayon_global_moy_j,0.17671072,33,False
meteo_ensol_total_j_moins_1,0.16689502,34,False
cal_jour_semaine,0.15927127,35,False
ist_corresp_in_n_garanties_moy_20occ,0.15888457,36,False
cal_minute_depart,0.15575129,37,False
resa_max_groupe_2c_J_minus_1,0.15053299,38,True
meteo_destination_precip_total_j,0.15016137,39,False
cal_minute_arrivee,0.1416253,40,False
simba_part_spar,0.1400268,41,False
meteo_vent_max_j,0.13594788,42,False
meteo_destination_ensoleillement_min_h,0.1298435,43,False
simba_part_autre,0.12701511,44,False
simba_part_ga,0.12166756,45,False
meteo_temperature_h,0.12053983,46,False
meteo_destination_temperature_max_j,0.1196939,47,False
vmcv_min_attente_min,0.11067329,48,False
spatial_gare_depart_pop_500m_total,0.10925891,49,False
meteo_destination_rayon_global_moy_j,0.108406164,50,False
event_n_manifestations_blonay_j,0.105349526,51,False
meteo_destination_vent_max_h,0.1018263,52,False
spatial_distance_km,0.10126894,53,False
meteo_destination_temperature_h,0.100756064,54,False
meteo_ensol_total_j_plus_1,0.10003103,55,False
cal_is_weekend,0.099032946,56,False
ist_corresp_out_n_theoriques_moy_20occ,0.09210146,57,False
vmcv_delta_frequence_h,0.08979775,58,False
meteo_vent_max_h,0.08597987,59,False
meteo_destination_vent_max_j,0.08242546,60,False
meteo_precip_total_j_moins_1,0.08111537,61,False
spatial_segment,0.07777805,62,False
cal_type_jour_3classes,0.07587529,63,False
event_is_saison_narcisses,0.071912736,64,False
ist_corresp_in_n_theoriques_moy_20occ,0.06854921,65,False
